,time,open,close,high,low
0,2024-12-25T21:50:35.050Z,1.01218,1.01218,1.01218,1.01218
1,2024-12-25T21:50:35.550Z,1.0122,1.0122,1.0122,1.0122
2,2024-12-25T21:50:36.049Z,1.01221,1.01221,1.01221,1.01221
3,2024-12-25T21:50:36.550Z,1.01223,1.01223,1.01223,1.01223
4,2024-12-25T21:50:37.049Z,1.01222,1.01222,1.01222,1.01222
5,2024-12-25T21:50:37.550Z,1.01223,1.01223,1.01223,1.01223
6,2024-12-25T21:50:38.049Z,1.01221,1.01221,1.01221,1.01221
7,2024-12-25T21:50:38.549Z,1.01224,1.01224,1.01224,1.01224
8,2024-12-25T21:50:39.049Z,1.01224,1.01224,1.01224,1.01224
9,2024-12-25T21:50:39.550Z,1.01225,1.01225,1.01225,1.01225
10,2024-12-25T21:50:40.052Z,1.01224,1.01224,1.01224,1.01224
11,2024-12-25T21:50:40.553Z,1.01224,1.01224,1.01224,1.01224
12,2024-12-25T21:50:41.052Z,1.01227,1.01227,1.01227,1.01227
13,2024-12-25T21:50:41.554Z,1.01228,1.01228,1.01228,1.01228
14,2024-12-25T21:50:42.054Z,1.01226,1.01226,1.01226,1.01226
15,2024-12-25T21:50:42.553Z,1.01225,1.01225,1.01225,1.01225
16,2024-12-25T21:50:43.054Z,1.01224,1.01224,1.01224,1.01224
17,2024-12-25T21:50:43.554Z,1.01222,1.01222,1.01222,1.01222
18,2024-12-25T21:50:44.054Z,1.01221,1.01221,1.01221,1.01221
19,2024-12-25T21:50:44.555Z,1.01218,1.01218,1.01218,1.01218
20,2024-12-25T21:50:45.057Z,1.01219,1.01219,1.01219,1.01219
21,2024-12-25T21:50:45.557Z,1.01217,1.01217,1.01217,1.01217
22,2024-12-25T21:50:46.057Z,1.01216,1.01216,1.01216,1.01216
23,2024-12-25T21:50:46.557Z,1.01216,1.01216,1.01216,1.01216
24,2024-12-25T21:50:47.057Z,1.01217,1.01217,1.01217,1.01217
25,2024-12-25T21:50:47.557Z,1.01219,1.01219,1.01219,1.01219
